Date,Close/Last,Volume,Open,High,Low
11-07-2023,$25.1615,488,$26.5216,$26.9262,$24.9915
11-06-2023,$27.3716,352,$26.6916,$28.0517,$26.0116
11-03-2023,$28.3917,459,$28.0517,$29.5818,$27.2016
11-02-2023,$27.0316,322,$25.1615,$28.8405,$25.1615
11-01-2023,$25.1615,233,$27.2016,$28.9017,$25.1615
10/31/2023,$28.2217,254,$29.5818,$29.7518,$27.8817
10/30/2023,$28.2217,160,$28.3917,$28.3917,$26.5352
10/27/2023,$26.5216,686,$27.2016,$28.90,$26.5216
10/26/2023,$24.8215,346,$24.4815,$27.2016,$24.4815
10/25/2023,$25.5015,163,$25.5015,$25.5865,$24.9065
10/24/2023,$25.6715,1448,$31.1119,$31.1119,$21.933
10/23/2023,$29.4118,543,$32.3019,$32.812,$29.4118
10/20/2023,$32.3869,644,$33.322,$34.6923,$29.7518
10/19/2023,$33.492,824,$34.121,$35.1904,$32.3019
10/18/2023,$35.1921,784,$35.1921,$38.5906,$34.002
10/17/2023,$34.8521,436,$36.4672,$38.0806,$34.8521
10/16/2023,$35.8722,148,$35.8722,$36.7222,$35.7021
10/13/2023,$35.7021,1206,$37.4022,$38.2523,$34.1721
10-12-2023,$37.4022,392,$36.2122,$37.6573,$35.5321
10-11-2023,$36.3822,562,$38.2727,$38.39,$36.3822
10-10-2023,$38.4223,646,$39.1023,$41.253,$36.8922
10-09-2023,$38.5923,810,$43.6926,$43.6926,$38.2523
10-06-2023,$39.1023,345,$39.3098,$40.5746,$39.1023
10-05-2023,$39.6124,657,$38.7623,$41.4774,$38.7623
10-04-2023,$40.1224,232,$41.4825,$41.4825,$38.2523
10-03-2023,$39.9524,122,$41.1425,$42.1999,$39.9524
10-02-2023,$41.1425,442,$41.1425,$42.5009,$40.0986
09/29/2023,$42.3325,281,$42.3988,$42.5026,$41.1425
09/28/2023,$42.4464,129,$42.1625,$42.6539,$41.3125
09/27/2023,$40.2924,244,$42.1625,$42.1625,$40.2924
09/26/2023,$42.375,245,$41.1425,$44.0836,$41.1425
09/25/2023,$43.0126,722,$43.3526,$44.2027,$41.3125
09/22/2023,$42.5026,581,$42.5026,$43.4631,$40.1241
09/21/2023,$41.9925,353,$40.9725,$42.5026,$40.9725
09/20/2023,$41.3125,308,$40.1241,$41.9823,$40.1241
09/19/2023,$41.9925,278,$40.9215,$41.9925,$40.8024
09/18/2023,$41.1425,312,$41.8225,$41.8225,$40.2924
09/15/2023,$41.1425,9374,$41.8225,$44.2027,$39.9524
09/14/2023,$42.8426,12848,$45.2227,$48.7929,$42.3325
09/13/2023,$43.8626,3723,$45.0527,$49.1329,$43.5226
09-12-2023,$42.5026,3703,$45.2227,$45.3927,$40.2924
09-11-2023,$40.9725,4317,$45.5627,$45.6375,$39.9524
09-08-2023,$46.2428,1700,$45.5627,$47.2628,$42.3325
09-07-2023,$44.2027,2823,$40.1224,$45.391,$39.9524
09-06-2023,$41.1425,2181,$45.2227,$45.2227,$40.1224
09-05-2023,$46.0728,8466,$46.0728,$51.8531,$43.6603
09-01-2023,$51.1731,100096,$42.1625,$75.8245,$38.7623
08/31/2023,$39.7824,2632,$36.7222,$42.2322,$36.7222
08/30/2023,$37.5723,772,$36.5522,$39.1023,$36.5522
08/29/2023,$36.5522,379,$35.5321,$37.9123,$35.0221
08/28/2023,$36.7222,193,$37.5723,$37.5723,$36.7222
08/25/2023,$36.7222,322,$43.1826,$43.1826,$35.0221
08/24/2023,$35.0527,121,$34.8521,$35.3621,$34.8521
08/23/2023,$34.8521,1304,$36.7222,$36.7222,$34.002
08/22/2023,$36.5522,1647,$40.4624,$41.3125,$36.5522
08/21/2023,$41.6525,3698,$43.0126,$44.5427,$38.9323
08/18/2023,$42.8426,2844,$43.0126,$45.0527,$42.5026
08/17/2023,$44.2027,575,$44.7127,$44.7127,$42.8426
08/16/2023,$44.2027,684,$47.7729,$47.7729,$44.2027
08/15/2023,$47.2033,507,$47.9429,$48.4529,$46.7528
08/14/2023,$46.9228,1297,$50.153,$50.153,$46.7528
08-11-2023,$49.983,356,$49.983,$50.6613,$49.303
08-10-2023,$47.2628,683,$54.4033,$54.4033,$46.7528
08-09-2023,$54.5733,675,$55.2533,$55.2533,$52.7032
08-08-2023,$55.7633,494,$53.7912,$55.7633,$52.7032
08-07-2023,$53.9782,442,$54.4033,$55.2533,$52.7032
08-04-2023,$54.7433,3345,$55.7633,$58.9935,$54.4033
08-03-2023,$54.5733,1041,$52.7032,$55.1853,$52.7032
08-02-2023,$52.8732,678,$51.8548,$55.3757,$51.8531
08-01-2023,$55.2533,1577,$56.2734,$56.2734,$53.5532
07/31/2023,$56.1034,650,$56.6134,$59.3336,$55.6154
07/28/2023,$55.5933,780,$57.4634,$59.6736,$55.5933
07/27/2023,$58.4835,519,$63.5838,$63.7351,$57.6301
07/26/2023,$60.9368,587,$61.2037,$62.4787,$60.8637
07/25/2023,$61.8837,918,$63.7538,$68.3441,$61.2037
07/24/2023,$63.1588,1585,$69.5342,$69.5342,$61.8837
07/21/2023,$70.3842,314,$70.2142,$70.5542,$68.9493
07/20/2023,$68.662,1003,$72.2543,$72.5485,$68.1741
07/19/2023,$71.0643,1214,$71.5743,$74.2554,$68.8541
07/18/2023,$70.2142,1178,$71.3618,$73.9476,$70.2142
07/17/2023,$72.4243,565,$74.8045,$74.8045,$71.4043
07/14/2023,$73.9544,2473,$76.3346,$79.2248,$69.8742
07/13/2023,$76.3346,539,$78.5447,$79.0547,$74.8062
07-12-2023,$75.3145,2345,$81.6049,$81.6049,$75.3145
07-11-2023,$80.2448,1543,$80.5848,$82.2849,$79.5648
07-10-2023,$81.4349,1213,$80.2448,$83.6484,$80.0748
07-07-2023,$82.795,3917,$80.7548,$86.1952,$79.5648
07-06-2023,$78.8847,1218,$82.1149,$82.1149,$77.3546
07-05-2023,$79.5291,540,$81.6049,$82.795,$79.2248
07-03-2023,$80.9249,924,$84.4951,$84.4951,$79.0547
06/30/2023,$80.0748,2087,$79.3948,$83.4495,$78.2047
06/29/2023,$79.3948,631,$79.3948,$80.9249,$78.0347
06/28/2023,$79.3948,561,$79.7348,$80.5848,$79.3948
06/27/2023,$78.7147,521,$78.5447,$81.2649,$78.2064
06/26/2023,$78.3747,2759,$84.4951,$84.4951,$78.2047
06/23/2023,$80.4148,901,$82.0758,$82.0758,$78.2047
06/22/2023,$80.4148,6240,$80.7548,$85.0051,$78.2047
06/21/2023,$77.3546,3195,$79.0547,$79.898,$75.3162
